0,0,0,15.874,0,0,0,11.313,10.601,0,0,0,0,2.0894,0,10.178,0,3.8417,0,0
11.407,8.5511,6.7045,0,2.2514,0,0,0,0,0,0,0,0,0,3.8712,6.5386,0,0,0,0
2.4686,16,0,16,16,0,0,12.656,16,0,0,5.3681,0,0,0,16,0,16,0,0
6.5596,0,3.5389,16,6.8155,0,0,15.202,14.07,0,0,1.0068,0,16,5.8506,16,0,16,0,0
12.354,0,1.8974,6.154,2.023,0,0,1.9287,1.5586,0,0,0,0,16,2.414,16,0,4.339,0,0
5.4616,0,1.0222,14.703,2.5316,0,0,7.6383,6.8402,0,0,0,0,16,2.1637,16,0,8.3221,0,0
0,3.5575,0,16,1.9555,0,0,16,16,0,0,0,0,0,0,12.734,0,9.2085,0,0
12.143,1.0329,5.6284,16,8.4411,0,0,13.006,11.996,0,0,2.5,0,16,7.945,16,0,16,0,0
0,2.0693,0,16,0,0,0,13.902,13.156,0,0,0,0,0,0,8.8631,0,4.9873,0,0
0,16,0,16,16,0,0,16,16,0,0,1.4948,0,0,0,16,0,16,0,0
0,7.7225,0,16,5.2738,0,0,16,16,0,0,0,0,0,0,14.728,0,15.067,0,0
0,16,0,16,11.064,0,0,0,16,0,0,16,0,0,1.8041,0,0,13.605,0,0
16,16,16,0,10.373,0,0,0,0,0,0,0,0,3.1362,13.892,16,0,2.0656,0,0
0,12.307,0,16,10.272,0,0,16,16,0,0,0,0,0,0,16,0,16,0,0
1.5359,16,8.0504,16,16,0,0,0,16,0,0,16,0,0,10.33,0,0,16,0,0
0,6.2052,1.2753,16,6.1163,0,0,16,16,0,0,0,0,1.4135,1.8067,16,0,16,0,0
0,16,3.8363,16,16,0,0,0,16,0,0,16,0,0,6.0538,0,0,16,0,0
10.052,7.2026,5.3585,0,1.506,0,0,0,0,0,0,0,0,0,2.8586,5.949,0,0,0,0
0,3.7886,0,16,1.541,0,0,16,16,0,0,0,0,0,0,9.789,0,7.8022,0,0
14.642,5.9701,5.4845,0,1.5915,0,0,0,0,0,0,0,0,0,3.1068,10.324,0,0,0,0
